FECHA,EMISION,PA,TV,TIPO BURSATILIDAD
2016-01-12 00:00:00,CEMEXCPO,7.99,1,AL
2016-01-20 00:00:00,CEMEXCPO,7.37,1,AL
2016-02-12 00:00:00,CEMEXCPO,8.47,1,AL
2016-02-16 00:00:00,CEMEXCPO,8.79,1,AL
2016-02-19 00:00:00,CEMEXCPO,9.26,1,AL
2016-02-23 00:00:00,CEMEXCPO,9.68,1,AL
2016-03-03 00:00:00,CEMEXCPO,10.47,1,AL
2016-03-08 00:00:00,CEMEXCPO,10.61,1,AL
2016-03-15 00:00:00,CEMEXCPO,10.67,1,AL
2016-03-23 00:00:00,CEMEXCPO,12.02,1,AL
2016-03-28 00:00:00,CEMEXCPO,12.22,1,AL
2015-04-01 00:00:00,CREAL*,35.79,0,ME
2015-04-06 00:00:00,CREAL*,37.25,0,ME
2015-04-08 00:00:00,CREAL*,36.9,0,ME
2015-04-15 00:00:00,CREAL*,38.01,0,ME
2015-04-20 00:00:00,CREAL*,38.32,0,ME
2015-04-22 00:00:00,CREAL*,39.12,0,ME
2015-04-29 00:00:00,CREAL*,37.99,0,ME
2015-04-30 00:00:00,CREAL*,37.95,0,ME
2015-05-28 00:00:00,CREAL*,35.46,0,ME
2015-06-02 00:00:00,CREAL*,36.1,0,ME
2015-06-11 00:00:00,CREAL*,35.72,0,ME
2015-07-01 00:00:00,CREAL*,34.2,0,ME
2015-07-07 00:00:00,CREAL*,33.85,0,ME
2015-07-15 00:00:00,CREAL*,35.37,0,ME
2015-07-16 00:00:00,CREAL*,35.58,0,ME
2015-07-17 00:00:00,CREAL*,35.45,0,ME
2015-07-24 00:00:00,CREAL*,35.9,0,ME
2015-08-06 00:00:00,CREAL*,35.26,0,ME
2015-08-10 00:00:00,CREAL*,35.03,0,ME
2015-08-19 00:00:00,CREAL*,32.47,0,ME
2015-08-28 00:00:00,CREAL*,32.26,0,ME
2015-09-01 00:00:00,CREAL*,32.5,0,ME
2015-09-18 00:00:00,CREAL*,33.89,0,ME
2015-10-01 00:00:00,CREAL*,32.99,0,ME
2015-10-06 00:00:00,CREAL*,34.43,0,ME
2015-10-12 00:00:00,CREAL*,36.54,0,ME
2015-10-22 00:00:00,CREAL*,37,0,ME
2015-11-11 00:00:00,CREAL*,39.01,0,ME
2015-11-12 00:00:00,CREAL*,39.25,0,ME
2015-11-20 00:00:00,CREAL*,39.86,0,ME
2015-12-07 00:00:00,CREAL*,38.62,0,ME
